© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulators	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
salicylic acid	-2.213	-2.213	-1.98	-2.213	-2.213	-2.213	-2.213	-2.213
RET	2.183	2.183	2.183	2.183	2.183	2.183	2.183	2.183
okadaic acid	2.183	2.183	2.183	2.183	2.183	2.183	2.183	2.183
reactive oxygen species	2.209	2.209	1.976	2.209	2.209	2.209	2.209	2.209
PPARGC1A	-2.138	-2.138	-2.0	-2.219	-2.138	-2.138	-2.219	-2.433
BRD4	2.236	2.236	2.0	2.236	2.236	2.236	2.236	2.0
curdlan	2.177	2.177	2.177	2.177	2.177	2.177	2.177	2.177
SRC	2.2	2.2	1.964	2.2	2.2	2.2	2.2	2.2
IL36G	2.17	2.17	2.17	2.17	2.17	2.17	2.17	2.17
TRAF6	2.169	2.169	2.169	2.169	2.169	2.169	2.169	2.169
minocycline	-2.197	-2.197	-1.965	-2.197	-2.197	-2.197	-2.197	-2.197
RAF1	2.195	2.195	2.195	2.195	1.972	2.195	2.195	2.195
C5	2.196	2.196	1.965	2.196	2.196	2.196	2.196	2.196
CD40LG	2.196	2.196	1.955	2.196	2.196	2.196	2.196	2.196
tripterine	-2.219	-2.219	-1.981	-2.219	-2.219	-2.219	-2.219	-1.997
TRAF3IP2	2.19	2.19	1.96	2.19	2.19	2.19	2.19	2.19
Bay 11-7082	-2.191	-2.191	-1.95	-2.191	-2.191	-2.191	-2.191	-2.191
FOXO1	2.215	2.215	1.992	2.215	1.978	2.215	2.215	2.215
epigallocatechin-gallate	-2.108	-2.108	-1.918	-2.108	-2.684	-2.108	-2.108	-2.108
CD40	2.18	2.18	1.938	2.18	2.18	2.18	2.18	2.18
E. coli lipopolysaccharide	2.179	2.179	1.942	2.179	2.179	2.179	2.179	2.179
C3	2.173	2.173	1.956	2.173	2.173	2.173	2.173	2.173
Sb202190	-2.174	-2.174	-1.933	-2.174	-2.174	-2.174	-2.174	-2.174
CCL2	2.172	2.172	1.934	2.172	2.172	2.172	2.172	2.172
glucocorticoid	-2.005	-2.005	-2.158	-2.005	-2.005	-2.005	-2.562	-2.378
troglitazone	-2.162	-2.162	-1.967	-2.162	-2.162	-2.162	-2.162	-2.162
TAC1	2.165	2.165	2.165	2.165	1.939	2.165	2.165	2.165
TNFAIP3	-2.165	-2.165	-1.923	-2.165	-2.165	-2.165	-2.165	-2.165
NFkB (family)	2.157	2.157	1.911	2.157	2.157	2.157	2.157	2.157
prostaglandin E2	2.12	2.12	1.686	1.93	2.12	2.12	2.455	2.455
IFN beta	-2.12	-2.12	-2.12	-2.12	-2.12	-2.12	-2.12	-2.12
cyclosporin A	-2.141	-2.141	-1.688	-2.323	-2.141	-2.141	-2.141	-2.141
RIPK1	2.084	2.084	2.084	2.084	2.084	2.084	2.084	2.084
triptolide	-1.982	-2.219	-1.982	-1.982	-1.982	-1.982	-2.219	-2.219
TIMP1	1.98	2.213	1.98	1.98	1.98	1.98	2.213	2.213
TLR7	2.196	2.196	1.956	1.956	1.979	2.196	1.979	1.979
5-O-mycolyl-beta-araf-(1->2)-5-O-mycolyl-alpha-araf-(1->1')-glycerol	2.121	2.121	1.633	1.89	2.646	2.121	1.89	1.89
MAPK14	1.97	1.97	2.194	2.194	1.97	1.97	1.97	1.97
NFKB1	2.112	2.112	1.628	1.904	2.112	2.112	2.112	2.112
TNF (family)	1.893	1.893	1.998	1.893	1.893	1.893	2.414	2.23
WBP2	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0
SH3BP2	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
PDHA1	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
harpagoside	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0
FBF1	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
VE-821	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
ARL13B	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0
S100a7a	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
hydroxyurea	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
RPSA	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0
ARL3	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0	-2.0
NDRG1	1.998	1.998	1.998	1.998	1.998	1.998	1.998	1.998
EGFR	1.997	1.997	1.997	1.997	1.997	1.997	1.997	1.997
FAS	2.021	2.021	2.021	2.021	1.795	2.021	2.021	2.021
CGAS	1.988	1.988	1.988	1.988	1.988	1.988	1.988	1.988
S100A7	1.982	1.982	1.982	1.982	1.982	1.982	1.982	1.982
vismodegib	-1.982	-1.982	-1.982	-1.982	-1.982	-1.982	-1.982	-1.982
NX-13	-1.982	-1.982	-1.982	-1.982	-1.982	-1.982	-1.982	-1.982
UM101	-1.982	-1.982	-1.982	-1.982	-1.982	-1.982	-1.982	-1.982
erismodegib	-1.982	-1.982	-1.982	-1.982	-1.982	-1.982	-1.982	-1.982
C5AR1	1.982	1.982	1.982	1.982	1.982	1.982	1.982	1.982
NFKBIZ	1.981	1.981	1.981	1.981	1.981	1.981	1.981	1.981
OGG1	1.98	1.98	1.98	1.98	1.98	1.98	1.98	1.98
bucladesine	1.98	1.98	1.98	1.98	1.98	1.98	1.98	1.98
