© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulators	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
IL17A	0.721	0.32	1.583	0.169	2.394	2.075	2.689	1.938
Ap1	1.725	N/A	N/A	N/A	2.731	2.731	2.554	2.145
IL2	0.649	N/A	N/A	1.687	2.742	2.553	2.126	2.126
CEBPB	0.027	0.062	-0.06	-0.581	3.899	3.231	2.932	1.08
Immunoglobulin	1.929	1.015	-0.458	0.071	-3.205	-2.107	-2.437	-0.63
NFKB1	1.218	0.739	1.221	0.862	1.822	1.822	2.194	1.969
ORAI1	1.498	1.131	1.067	N/A	1.97	1.744	2.407	1.97
FGF21	2.364	2.213	2.213	1.387	0.475	1.213	N/A	1.91
wortmannin	-0.379	-0.412	-0.798	-1.172	-2.864	-2.691	-2.299	-1.091
let-7a-5p (and other miRNAs w/seed GAGGUAG)	2.207	1.621	1.407	N/A	-3.558	-2.44	N/A	-0.418
IGF1R	0.909	0.53	1.296	1.949	1.397	2.183	2.183	1.195
N-acetyl-L-cysteine	-0.48	-0.1	-0.775	-1.441	-2.766	-2.595	-2.206	-1.169
IL6	-0.652	-0.842	-0.1	0.224	3.078	2.916	2.392	1.319
YBX1	0.692	0.391	1.452	1.225	1.982	1.283	2.779	1.709
EP300	-1.102	-1.072	-0.677	0.406	2.458	2.254	2.198	1.34
RET	1.474	1.103	N/A	N/A	2.384	2.176	2.176	2.176
SP1	-0.95	-0.238	0.313	1.246	3.114	2.812	1.998	0.807
N-acetylsphingosine	2.425	2.213	2.213	2.213	0.97	1.432	N/A	N/A
aldosterone	-0.274	-0.986	0.066	0.674	2.99	2.818	2.446	1.208
TGFB3	-0.303	-1.0	-1.732	0.48	2.328	2.375	1.718	1.467
PRL	-1.773	-1.093	-1.449	-1.14	2.645	1.559	1.561	-0.104
N-[N-(3,5-difluorophenacetyl-L-Ala)]-S-phenylglycine t-butyl ester	-0.371	N/A	N/A	-1.98	-2.407	-2.407	-2.19	-1.96
STAT4	1.981	N/A	N/A	N/A	2.805	2.805	1.83	1.83
SPRY2	-0.6	-1.4	N/A	N/A	-2.611	-2.414	-2.2	-1.964
p38 MAPK	0.971	0.073	0.969	0.673	2.381	2.187	1.979	1.953
CD40LG	0.589	0.054	1.179	1.179	2.194	2.194	2.194	1.562
Ni2+	2.211	N/A	N/A	N/A	2.211	2.211	2.211	2.211
MUC1	0.912	0.896	N/A	1.982	1.942	1.709	1.914	1.673
SMAD4	-0.41	-0.99	-0.658	-0.884	2.706	2.146	1.924	1.284
ERK	-0.39	-1.158	-0.415	0.509	3.124	2.626	2.43	0.35
WNT3A	-2.049	-1.367	0.225	0.371	2.45	2.261	1.685	0.51
sirolimus	-0.687	-0.469	-0.447	N/A	-2.342	-2.342	-2.466	-2.143
diphenyleneiodonium	-1.118	-1.154	-1.214	-1.981	-2.208	-2.008	-1.118	-0.059
progesterone	0.788	0.201	0.946	1.011	1.621	1.5	2.218	2.546
CSF2	0.77	0.246	N/A	N/A	2.603	2.404	2.404	2.385
thapsigargin	2.203	2.194	N/A	N/A	1.479	1.479	1.479	1.965
mirdametinib	0.0	-0.447	-0.447	N/A	-3.0	-2.449	-2.449	-2.0
prednisolone	-1.109	-0.762	N/A	N/A	-2.433	-2.219	-2.219	-1.982
PRKAA1	1.763	1.937	1.982	1.982	-1.029	-0.02	-1.958	0.048
FKBP10	1.134	N/A	1.0	N/A	-3.317	-2.236	-2.0	-1.0
NR4A3	1.432	1.387	1.387	1.0	0.218	1.982	1.501	1.732
MDK	1.452	1.103	N/A	N/A	2.19	1.96	1.96	1.96
CD44	-1.101	-0.555	-0.128	0.277	2.867	2.289	2.289	1.116
