© 2000-2025 QIAGEN. All rights reserved.

Upstream Regulators	Doxo14 vs Cycling0	Doxo21 vs Cycling0	Doxo14 vs Doxo3	Doxo21 vs Doxo3	Palbo14 vs Cycling0	Palbo28 vs Cycling0	Palbo14 vs Palbo3	Palbo28 vs Palbo3
aprepitant	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NFATC4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MEOX2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DLX5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CDK (family)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
vismodegib	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MTDH	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HOXB9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
S100A8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Serpina1a (includes others)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
USP39	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
USF1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ESR1:estrogen:ERE:NCOA3:EP300	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MARK2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
USP1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TAF5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SMARCA2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TOR1AIP1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PU-H71	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EGLN3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
nonylphenol	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
butylhydroxybutylnitrosamine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IRS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
P2RX4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MAP3K20	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PIK3C3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ODC1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UPF2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SN-38	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
choriogonadotropin alfa	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ROR1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
irbesartan	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
sevelamer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
levothyroxine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
YAF2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ORM1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
spermine nitric oxide complex	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL18	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HOXA10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
(-)4,5-dicaffeoyl quinic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CLOCK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GLI2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ellagic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OLIG2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PI3K (family)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CERK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PTPN6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
S1PR3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
premarin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Samsn1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
miR-128-3p (and other miRNAs w/seed CACAGUG)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TFAP2E	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ZIC1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HBB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MYOF	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NPPC	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mir-147 (includes others)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GSK2193874	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ZMPSTE24	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SAA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TRG	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ACTN4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
OSU8-1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PRLR	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HNRNPA2B1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HECTD2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NRXN1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
miR-143-3p (and other miRNAs w/seed GAGAUGA)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ACE2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SPI1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
10-(6'-ubiquinonyl)decyltriphenylphosphonium	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
wortmannin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TAC1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
VSX2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ERCC1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RYR3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RRP15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LGI1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
poly-L-lysine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1-palmitoyl-2-oleoylphosphatidylserine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TBL1XR1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FSHB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CAMK2D	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mocetinostat	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
bevacizumab	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
T-5224	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
chondroitin sulfate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
pregna-4,17-diene-3,16-dione	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
KCNJ2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ESR1:estrogen:TFGA gene:NCOA1:EP300	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Pam3-Cys	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1-chloro-2,4-dinitrobenzene	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PBRM1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
conjugated linoleic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
THZ1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
INK4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
batimastat	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
naphthalene	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ZC3H12A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RASGRF1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CFB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GRB10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2,2-bis(4-hydroxyphenyl)-1,1,1-trichloroethane	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PTCH2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
bortezomib	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TGAL copolymer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
kynurenine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ZNF746	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N-(3-(aminomethyl)benzyl)acetamidine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FOXP4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
enterolactone	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LEF1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ANXA7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
methoxsalen	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TGIF2LX	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TFEC	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
bryostatin 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PTPRN	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RGFP966	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
paclitaxel	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NOD2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IGF2BP3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GCR/glucocorticoid dimer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
phxa 85	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
seocalcitol	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
daidzein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
dichlorovinylcysteine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PRKD1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HMG20A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EFNA4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SELENOS	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
JUNB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GABRA1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CFH	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
nifedipine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GABARAPL1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hesperetin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NOS2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HMGN3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
USF2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
infliximab	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ETV5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TRIB3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PKN1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BCR	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MEF2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
loganic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EGR1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MYCBP2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TARDBP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ANPEP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GATA4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NOS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
cyclophosphamide	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
miR-17-5p (and other miRNAs w/seed AAAGUGC)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SLC2A10	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BMPR1A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
lysophosphatidylinositol	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NFKBIZ	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
camptothecin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
trametinib	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SOS	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LINC00857	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BTG2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SKF-38393	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ELF4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TRADD	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BMP15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
crocidolite asbestos	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BCL6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SERPINA12	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IFI16	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MIAT	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NR2C2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PHLPP2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
cimetidine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CBX7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ONO 1301	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mir-503 (includes others)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FST	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LATS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BRAP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
STMN1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CLDN7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
zinc sulfate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CLEC4E	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SMAD2/3/SMAD4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PDGFB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
tauroursodeoxycholic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ANKRD17	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FOXO1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SLC7A11	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SLC39A8	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HMGXB4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BMP6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
bisphenol A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NSC23766	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MAK683	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TNFSF9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GSTK1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MMP9	0.0	0.0	0.0	N/A	N/A	N/A	0.0	0.0
ZNF740	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IFT88	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MERTK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ARNT2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ganglioside GD1a	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EDA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
atrial natriuretic peptide	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Ni2+	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
dexamethasone/INS/isobutylmethylxanthine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
D-galactosamine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
101.10 peptide	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IRF3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CASK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HCRT	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
KLF12	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SIM2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Cebp	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
WDR11-DT	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LEP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NR1H3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SH3BP2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SFRP4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GNA13	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HRAS	0.0	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ITGA9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DNM3OS	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
farglitazar	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
finasteride	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SEW 2871	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CALCA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NFAT (family)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
F9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MEG3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TYROBP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
dec-RRLL-cmk	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PDGF/AA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
flurazepam	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
lithium chloride	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TWIST	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mir-8 (includes others)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
telmisartan	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RNF31	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
tempol	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL13RA2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
taurodeoxycholic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SGO1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
DNAJB11	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
WR 1065	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
STAT1/3/5 dimer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
laquinimod	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SLC12A2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
bafilomycin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
UBA7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PIEZO1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
mir-132 (includes others)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
COLQ	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FN1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MIR503HG	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NR3C1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TEAD2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NODAL	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PARP1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RAD21L1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ATP2B2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
di(2-ethylhexyl) phthalate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PCSK9	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TAF4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ARHGAP31	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
green tea polyphenol	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
tyrphostin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RYR1	N/A	0.0	N/A	N/A	N/A	N/A	N/A	N/A
SHH	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL11	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HA900	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SIK3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MAP3K7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SCNN1B	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ASPSCR1-TFE3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CYP4F2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EFNA5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FAM83A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PDGF-AB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
JNK inhibitor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ITGA5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SR 144528	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TFCP2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
COL5A1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
triclosan	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
GPR39	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
KPNA2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
isopentenyl diphosphate	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SLIT2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
LGALS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
beta-cryptoxanthin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Fc gamma receptor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MSTN	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IL12 (complex)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
AMPK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
corticosterone	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RXR/VDR/vitamin D3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HMGN5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
rimonabant	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MALAT1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
RETNLB	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
WNT3A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SOX11	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
carbonyl cyanide m-chlorophenyl hydrazone	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TNFAIP6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BSCL2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ELF3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FOXO3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
dexmedetomidine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
lactacystin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ZIC3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FUS-DDIT3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PTX3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TWNK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
USP38	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
3-methyladenine	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Rhox5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
hymecromone	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
IRF4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PAEP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ARNT	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
buparlisib	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SELP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Hif	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHROMR	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
AIMP1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CXCR2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
rolipram	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHI3L1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MOGAT2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NRAS	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
AKT3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PCMT1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
Mrgpra2a (includes others)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
NFKB1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
FOXF1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MEIS1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
oxonic acid	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
histone H4	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SOCS6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
SCX	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TAOK3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BRAF	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TAFAZZIN	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
quercetin	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
STAG3	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
entolimod	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
