© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Cachexia Signaling Pathway	2.14E00	4.08E-02	NaN	AZGP1,IL12A,IL1RAPL1,IL1RL1,IL36B,IL36G,IL36RN,LCN2,PPARG,PRKCB,RYR1,STAT4,TLR8,TNFSF15,TNFSF8	
O-linked glycosylation	2.13E00	6.19E-02	NaN	GALNT12,GCNT4,MUC13,MUC16,MUC19,ST6GALNAC3,THSD7B	
Molecular Mechanisms of Cancer	2.11E00	3.25E-02	NaN	ADCYAP1R1,ADGRD1,ADGRF5,ADGRG4,ADGRL4,BIRC3,BMP7,CAMK2A,CAMK2B,CCR7,CHRM2,CHRM3,CHRM5,FZD3,GPR179,GRM4,GRM7,HDAC9,HTR2C,IL1RL1,MMP1,MMP12,MMP3,P2RY14,PRKCB,RASGRP1,TACR1,TGFA	
Oxidative Stress Induced Senescence	2.09E00	6.82E-02	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	2.09E00	5.56E-02	NaN	IL1RAPL1,IL1RL1,IL36B,IL36G,IL36RN,MMP1,MMP12,MMP3	
Transcriptional Regulation by MECP2	2.08E00	7.94E-02	NaN	CAMK2A,CAMK2B,GRIN2A,GRIN2B,PPARG	
Osteoarthritis Pathway	2.08E00	4.62E-02	NaN	CREB5,FRZB,FZD3,GREM1,IL1RAPL1,IL1RL1,MMP1,MMP12,MMP3,PPARG,PRG4	
Netrin Signaling	2.07E00	5.14E-02	NaN	CAMK2A,CAMK2B,DCC,DPYSL5,NFATC2,PLCG2,PRKCB,RYR1,UNC5D	
Telomere Maintenance	2.06E00	6.74E-02	NaN	H2AC6,H2BC12L,H2BC15,H2BC21,H2BC26,H2BC5	
Gustation Pathway	2.01E00	4.74E-02	NaN	ABCC9,CHRM3,GABRA2,GABRB2,GABRG1,KCNN3,LIPF,P2RY14,SCN3A,SCN4B	
Cell junction organization	2E00	6.52E-02	NaN	CADM2,CDH10,CDH12,CDH4,CLDN1,LAMB3	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	1.99E00	1.3E-01	NaN	CCL3,IL12A,LCN2	
DAP12 interactions	1.99E00	9.3E-02	NaN	LAT,PLCG2,TREM1,VAV3	
Sertoli Cell-Sertoli Cell Junction Signaling	1.97E00	4.45E-02	NaN	CDH10,CDH12,CDH4,CLDN1,CREB5,IL1RAPL1,IL1RL1,LAMB3,LAMC3,MYO7A,TJP3	
Opioid Signaling Pathway	1.96E00	4.27E-02	NaN	CAMK2A,CAMK2B,CREB5,GRIN2A,GRIN2B,HCK,MAPK4,PDE1A,PRKCB,RGS13,RGS6,RYR1	
Assembly and cell surface presentation of NMDA receptors	1.95E00	9.09E-02	NaN	CAMK2A,CAMK2B,GRIN2A,GRIN2B	
Keratinization	1.94E00	4.63E-02	NaN	DSC3,DSG1,DSP,FLG,IVL,KRT23,KRT34,PI3,SPINK5,TCHH	
Interferon gamma signaling	1.87E00	6.12E-02	NaN	CAMK2A,CAMK2B,FCGR1A,FCGR1BP,OASL,TRIM10	
Cardiomyocyte Differentiation via BMP Receptors	1.84E00	1.15E-01	NaN	BMP7,MYL2,NPPB	
Apelin Cardiomyocyte Signaling Pathway	1.83E00	6E-02	NaN	MAPK4,MYL2,PLCG2,PLCL1,PRKCB,SLC9A2	
