© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Fanconi Anemia Pathway	7.94E00	2.63E-01	NaN	DCLRE1B,FANCA,FANCB,FANCD2,FANCE,FANCG,FANCI,SLX1B,UBE2T,USP1	
Nuclear Cytoskeleton Signaling Pathway	7.91E00	9.95E-02	NaN	CENPE,DHFR,EGR1,H2AX,ITGB4,KIF11,KIF15,KIF18A,KIF18B,KIF20A,KIF20B,KIF22,KIF23,KIF2C,KIF4A,KIFC1,LMNB1,LMNB2,RACGAP1,SKP2,SYNE3,TUBA3C	
TP53 Regulates Transcription of Cell Cycle Genes	7.89E00	2.24E-01	NaN	AURKA,CCNA2,CCNB1,CCNE2,CDC25C,CDK1,CDK2,E2F1,E2F8,PCNA,RBL1	
Mitotic Prophase	7.72E00	1.44E-01	NaN	CCNB1,CCNB2,CDK1,H2AX,H2AZ2,H2BC13,H2BC17,LMNB1,MASTL,NCAPD3,NCAPG2,PLK1,SMC2,SMC4,TMPO	
Chronic Myeloid Leukemia Signaling	7.28E00	8.54E-02	NaN	ADCY3,AURKA,AURKB,BCL2,BCL2L11,BIRC5,E2F1,E2F2,E2F8,FOS,FOXM1,FZD8,GLI2,HES1,LEF1,PIK3CD,PLK1,RAC3,RBL1,SKP2,SUV39H1,WNT3,WNT5B,WNT7B	
Cell Cycle: G1/S Checkpoint Regulation	7.22E00	1.74E-01	NaN	CCNE2,CDC25A,CDK2,CDKN2C,CDKN2D,E2F1,E2F2,E2F8,NRG1,RBL1,SKP2,SUV39H1	
ATM Signaling	7.08E00	1.4E-01	NaN	BLM,BRCA1,CCNB1,CCNB2,CDC25A,CDC25C,CDK1,CDK2,FANCD2,H2AX,RAD51,SMC2,SUV39H1,TP73	
DNA damage-induced 14-3-3σ Signaling	7.08E00	2.17E-01	NaN	BCL2,BRCA1,CCNB1,CCNB2,CCNE2,CDC25C,CDK1,CDK2,E2F1,TP73	
Ribonucleotide Reductase Signaling Pathway	6.84E00	1.03E-01	NaN	BCL2,BIRC5,CCNF,CDC25A,CDK1,CDK2,DPF1,E2F1,E2F2,E2F8,FOS,FOXM1,MYBL2,PIK3CD,RRM1,RRM2,SKP2,VASH2	
DNA Double-Strand Break Repair by Homologous Recombination	6.4E00	4.29E-01	NaN	BRCA1,BRCA2,GEN1,LIG1,POLA1,RAD51	
BER (Base Excision Repair) Pathway	6.19E00	2.05E-01	NaN	E2F1,FEN1,HMGB1,LIG1,PCNA,RFC2,RFC3,RFC4,SLC19A1	
Pulmonary Fibrosis Idiopathic Signaling Pathway	6.09E00	7.36E-02	NaN	ADAMTS1,AXL,BCL2,BIRC5,CCN2,COL4A1,COL4A2,COL6A3,COL7A1,CXCL12,EDN1,EGR1,EZH2,FOS,FZD8,GLI2,HES1,LEF1,PIK3CD,RPS6KA5,TERT,WNT3,WNT5B,WNT7B	
Ovarian Cancer Signaling	5.99E00	1.01E-01	NaN	BCL2,BRCA1,BRCA2,E2F1,E2F2,E2F8,EDN1,FZD8,LEF1,PIK3CD,RAD51,RBL1,SUV39H1,WNT3,WNT5B,WNT7B	
Senescence-Associated Secretory Phenotype (SASP)	5.96E00	1.49E-01	NaN	CCNA2,CDK2,CDKN2C,CDKN2D,FOS,H2AX,H2AZ2,H2BC13,H2BC17,UBE2C,UBE2S	
DNA Damage Bypass	5.85E00	1.88E-01	NaN	DTL,MAD2L2,PCLAF,PCNA,POLE2,RFC2,RFC3,RFC4,USP1	
Transcriptional regulation of granulopoiesis	5.62E00	1.76E-01	NaN	CDK2,DEK,E2F1,H2AX,H2AZ2,H2BC13,H2BC17,LEF1,MYB	
Oxidative Stress Induced Senescence	5.2E00	1.25E-01	NaN	CBX2,CDKN2C,CDKN2D,E2F1,E2F2,EZH2,FOS,H2AX,H2AZ2,H2BC13,H2BC17	
Small Cell Lung Cancer Signaling	4.75E00	1.12E-01	NaN	BCL2,CCNE2,CDK2,CKS1B,E2F1,E2F2,E2F8,PIK3CD,RBL1,SKP2,SUV39H1	
ID1 Signaling Pathway	4.65E00	7.92E-02	NaN	ATAD5,AURKA,BCL2,BIRC5,CCN2,CDC20,CHRFAM7A,CHRNA5,E2F1,EGR1,GLI2,KIF11,MCAM,PIK3CD,TYMS,USP1	
Resolution of Abasic Sites (AP sites)	4.62E00	1.84E-01	NaN	FEN1,LIG1,PCNA,POLE2,RFC2,RFC3,RFC4	
Pancreatic Adenocarcinoma Signaling	4.44E00	9.6E-02	NaN	BCL2,BIRC5,BRCA2,CCNE2,CDK2,E2F1,E2F2,E2F8,PIK3CD,RAD51,RBL1,SUV39H1	
DNA Damage/Telomere Stress Induced Senescence	4.36E00	1.43E-01	NaN	CCNA2,CCNE2,CDK2,H2AX,H2AZ2,H2BC13,H2BC17,LMNB1	
MHC class II antigen presentation	4.34E00	9.38E-02	NaN	CENPE,CTSV,KIF11,KIF15,KIF18A,KIF20A,KIF22,KIF23,KIF2C,KIF4A,RACGAP1,TUBA3C	
RHO GTPase cycle	4.2E00	5.56E-02	NaN	AMIGO2,ANLN,ARHGAP11A,ARHGAP11B,ARHGAP33,ARHGEF39,CIT,DEPDC1B,DIAPH3,DOCK2,ECT2,FAM169A,IQGAP3,KIF14,LBR,LMNB1,MCAM,NET1,PAK3,PKN3,PLEKHG4B,PLEKHG6,RAC3,RACGAP1,TMPO	
Molecular Mechanisms of Cancer	4.18E00	4.53E-02	NaN	ADCY3,ADGRA2,AURKA,BCL2,BCL2L11,BRCA1,CCNE2,CDC25A,CDC25B,CDC25C,CDK2,CDKN2C,CDKN2D,CELSR2,DIRAS3,E2F1,E2F2,E2F8,EDN1,FANCD2,FOS,FZD8,GPR19,GPR3,GPR85,GUCY1B1,HES1,HTR1D,IL27RA,IRS1,ITGB4,LEF1,OXTR,PAK3,PIK3CD,PTGER2,RAC3,RBL1,SUV39H1	
SUMOylation of DNA replication proteins	4.06E00	1.52E-01	NaN	AURKA,AURKB,BIRC5,CDCA8,INCENP,PCNA,TOP2A	
Histone Modification Signaling Pathway	4.06E00	6.33E-02	NaN	ATAD2,AURKB,BUB1,EZH2,H2AX,H2AZ1,H2AZ2,HASPIN,KDM4D,NCAPD3,NCAPG2,NSD2,ORC1,PHF19,RPS6KA5,SFMBT1,SGO2,SUV39H1,UHRF1	
Senescence Pathway	4.04E00	6.31E-02	NaN	CBX2,CCNB1,CCNB2,CCNE2,CDC25A,CDC25B,CDC25C,CDK1,CDK2,CGAS,E2F1,E2F2,E2F8,ETS2,EZH2,PHF19,PIK3CD,RBL1,RPS6KA5	
Intra-Golgi and retrograde Golgi-to-ER traffic	4.03E00	7.35E-02	NaN	CENPE,KIF11,KIF15,KIF18A,KIF18B,KIF20A,KIF20B,KIF22,KIF23,KIF2C,KIF4A,KIFC1,PAFAH1B3,RACGAP1,TUBA3C	
DNA Methylation and Transcriptional Repression Signaling	4.02E00	1.02E-01	NaN	CDK1,CDK15,CDK2,E2F1,E2F2,E2F8,RBL1,SUV39H1,TCF19,UHRF1	
S Phase	3.94E00	1E-01	NaN	CCNA2,CCNE2,CDC25A,CDC25B,CDCA5,CDK2,CKS1B,E2F1,ESCO2,SKP2	
Transcriptional Regulation by E2F6	3.92E00	1.76E-01	NaN	BRCA1,CDC7,E2F1,EZH2,RAD51,RRM2	
dTMP De Novo Biosynthesis	3.92E00	6E-01	NaN	DHFR,SHMT1,TYMS	
PRC2 methylates histones and DNA	3.85E00	1.71E-01	NaN	EZH2,H2AX,H2AZ2,H2BC13,H2BC17,PHF19	
Glioblastoma Multiforme Signaling	3.71E00	7.6E-02	NaN	CCNE2,CDK2,DIRAS3,E2F1,E2F2,E2F8,FZD8,LEF1,PIK3CD,RAC3,WNT3,WNT5B,WNT7B	
DNA methylation	3.53E00	1.92E-01	NaN	H2AX,H2AZ2,H2BC13,H2BC17,UHRF1	
Mitotic Telophase/Cytokinesis	3.49E00	2.67E-01	NaN	KIF20A,KIF23,PLK1,PTGER2	
Prostate Cancer Signaling	3.41E00	8.62E-02	NaN	BCL2,CCNE2,CDK2,E2F1,E2F2,E2F8,LEF1,PIK3CD,RBL1,SUV39H1	
DNA Double Strand Break Response	3.37E00	1.19E-01	NaN	BARD1,BRCA1,H2AX,H2BC13,H2BC17,KPNA2,NSD2	
ESR-mediated signaling	3.35E00	8.47E-02	NaN	BCL2,CXCL12,FOS,FOSB,H2AX,H2AZ2,H2BC13,H2BC17,KPNA2,MYB	
p53 Signaling	3.33E00	9.18E-02	NaN	BCL2,BIRC5,BRCA1,CDK2,E2F1,PCNA,PIK3CD,TP73,WT1	
GADD45 Signaling	3.32E00	1.17E-01	NaN	BRCA1,CCNB1,CCNE2,CDK1,CDK2,PCNA,WT1	
Hepatitis B Chronic Liver Pathogenesis Signaling Pathway	3.31E00	6.91E-02	NaN	APOBEC3B,BUB1B,CAMK4,CCN2,CDC20,EGR1,ETV4,FOXM1,HMGB1,MAD2L1,MXD3,PIK3CD,SOCS3	
SIRT1 negatively regulates rRNA expression	3.3E00	1.72E-01	NaN	H2AX,H2AZ2,H2BC13,H2BC17,SUV39H1	
Sumoylation Pathway	3.23E00	8.91E-02	NaN	DIRAS3,FOS,MYB,PCNA,RAC3,RFC2,RFC3,RFC4,SLC19A1	
NCAM signaling for neurite out-growth	3.19E00	1.11E-01	NaN	ARTN,COL4A1,COL4A2,COL6A3,GDNF,RPS6KA5,SPTBN4	
