© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Neurovascular Coupling Signaling Pathway	2.09E00	3.02E-02	NaN	CACNA1D,DAGLA,GABRB3,KCNJ6,KCNMB3,PLA2G4C,SLCO2A1	
Hepatic Fibrosis Signaling Pathway	2.08E00	2.4E-02	NaN	ACVR1C,CACNA1D,CXCL8,IL1A,IL1B,IRAK2,ITGA7,NOX4,TLR4,VCAM1	
Fatty Acid Activation	2.03E00	1.33E-01	NaN	ACSL5,ACSL6	
Phenylalanine Degradation IV (Mammalian, via Side Chain)	2.03E00	1.33E-01	NaN	ALDH2,IL4I1	
Role of Osteoblasts in Rheumatoid Arthritis Signaling Pathway	2.01E00	2.92E-02	NaN	BMP2,CSF2,CXCL8,IL1A,IL1B,LIF,MMP24	
Macrophage Classical Activation Signaling Pathway	1.96E00	3.19E-02	NaN	CSF2,CXCL8,IL1A,IL1B,LIF,TLR4	
CGAS-STING Signaling Pathway	1.93E00	3.62E-02	NaN	CSF2,CXCL8,IL1A,IL1B,LIF	
IL-33 Signaling Pathway	1.89E00	3.08E-02	NaN	CSF2,CXCL8,H2BC12,IL1A,IL1B,VCAM1	
FXR/RXR Activation	1.89E00	3.08E-02	NaN	CSF2,CXCL8,IL1A,IL1B,LIF,SLC51A	
Dermatan Sulfate Degradation (Metazoa)	1.88E00	1.11E-01	NaN	HYAL4,IDUA	
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	1.87E00	2.52E-02	NaN	ADAM21,ADAM28,COL9A2,CSF2,CTNNA2,IL1B,MMP24,TLR4	
DHCR24 Signaling Pathway	1.87E00	3.5E-02	NaN	SAA1,SAA2,SAA4,SERPINA1,VCAM1	
Axonal Guidance Signaling	1.86E00	2.13E-02	NaN	ADAM21,ADAM28,ADAMTS14,ADAMTS4,BMP2,ITGA7,MMP24,PAPPA,PLCZ1,PLXNB3,SEMA3E	
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	1.85E00	3.47E-02	NaN	ADAMTS4,CXCL8,IL1A,IL1B,MMP24	
GABA synthesis, release, reuptake and degradation	1.83E00	1.05E-01	NaN	RIMS1,SLC6A13	
γ-linolenate Biosynthesis II (Animals)	1.83E00	1.05E-01	NaN	ACSL5,ACSL6	
Mitochondrial L-carnitine Shuttle Pathway	1.83E00	1.05E-01	NaN	ACSL5,ACSL6	
Endocannabinoid Neuronal Synapse Pathway	1.79E00	3.33E-02	NaN	CACNA1D,DAGLA,KCNJ6,PLCZ1,RIMS1	
Sensory processing of sound by outer hair cells of the cochlea	1.77E00	5.45E-02	NaN	MYO3B,OTOGL,WHRN	
NAD Signaling Pathway	1.77E00	3.31E-02	NaN	H2BC12,NMNAT2,NMNAT3,PARP15,SLC29A3	
Xenobiotic Metabolism Signaling	1.77E00	2.42E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,ALDH2,IL1A,IL1B,IL4I1,UGT1A1	
Type II Diabetes Mellitus Signaling	1.76E00	3.29E-02	NaN	ABCC8,ACSL5,ACSL6,CACNA1D,CD36	
Pyroptosis Signaling Pathway	1.74E00	3.92E-02	NaN	GSDMB,IL1A,IL1B,TLR4	
Regulation of TLR by endogenous ligand	1.71E00	9.09E-02	NaN	CD36,TLR4	
Nucleotide salvage	1.67E00	8.7E-02	NaN	ADA,AMPD3	
NAD Salvage Pathway II	1.67E00	8.7E-02	NaN	NMNAT2,NMNAT3	
Extracellular matrix organization	1.67E00	3.74E-02	NaN	CEACAM1,COL9A2,ITGA7,LAMC2	
