© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Osteoarthritis Pathway	1.39E00	2.45E-02	NaN	DLX5,ELF3,ITGA1,SDC4,SMAD6,TIMP3	
Neurotransmitter clearance	1.37E00	6.25E-02	NaN	BCHE,NAD 	
Toll-like Receptor Cascades	1.37E00	6.25E-02	NaN	LBP,TLR7	
Cachexia Signaling Pathway	1.37E00	2.11E-02	NaN	CCL2,IGFBP3,IL33,IL6,MALAT1,TLR7,TNFSF13B,TNFSF14	
Erythropoietin Signaling Pathway	1.36E00	2.67E-02	NaN	CSF2RB,IL33,IL6,TNFSF13B,TNFSF14	
Regulation of TLR by endogenous ligand	1.35E00	6.06E-02	NaN	LBP,TLR7	
GABA synthesis, release, reuptake and degradation	1.35E00	6.06E-02	NaN	NAD ,SYT1	
Pregnenolone Biosynthesis	1.35E00	6.06E-02	NaN	CYP26B1,CYP2E1	
Tumor Microenvironment Pathway	1.34E00	2.65E-02	NaN	CCL2,CSF1,FGF11,FGF7,IL6	
Toll-like Receptor Signaling	1.34E00	3.85E-02	NaN	IL33,LBP,TLR7	
IL-17 Signaling	1.33E00	2.62E-02	NaN	CCL2,IL33,IL6,TNFSF13B,TNFSF14	
FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	1.33E00	5.88E-02	NaN	ABCA6,SOD2	
Acute Phase Response Signaling	1.31E00	2.59E-02	NaN	IL33,IL6,LBP,SERPING1,SOD2	
Airway Inflammation in Asthma	1.3E00	5.71E-02	NaN	CCL2,IL33	
Sorbitol Degradation I	1.3E00	2E-01	NaN	NAD 	
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.3E00	3.7E-02	NaN	IL6,LBP,SERPINA5	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	1.28E00	3.66E-02	NaN	CCL2,CCL5,IL6	
IL-33 Signaling Pathway	1.27E00	2.53E-02	NaN	CCL2,CCL5,CTRC,IL33,IL6	
Macrophage Alternative Activation Signaling Pathway	1.26E00	2.51E-02	NaN	CSF1,FPR1,IL33,IL6,JCHAIN	
Metabolism of folate and pterines	1.26E00	5.41E-02	NaN	ALDH1L1,NAD 	
Histidine Degradation VI	1.26E00	5.41E-02	NaN	CYP26B1,CYP2E1	
Cardiac conduction	1.25E00	2.86E-02	NaN	ATP1A2,FGF11,KCNIP2,NAD 	
Chemokine Signaling	1.25E00	3.53E-02	NaN	CCL2,CCL5,CCL7	
Cardiac Hypertrophy Signaling (Enhanced)	1.24E00	1.82E-02	NaN	AGTR1,CACNB4,CSF2RB,FGF11,FGF7,IL33,IL6,ITGA1,TNFSF13B,TNFSF14	
The Visual Cycle	1.24E00	5.26E-02	NaN	NAD ,RDH5	
Response to elevated platelet cytosolic Ca2+	1.22E00	2.8E-02	NaN	ACTN2,PCDH7,SERPING1,TIMP3	
NFE2L2 regulating inflammation associated genes	1.22E00	1.67E-01	NaN	CCL2	
Glycerol-3-phosphate Shuttle	1.22E00	1.67E-01	NaN	NAD 	
Glycine Biosynthesis II	1.22E00	1.67E-01	NaN	NAD 	
NRF2-mediated Oxidative Stress Response	1.22E00	2.22E-02	NaN	CYP2A6,CYP2E1,CYP2J2,DNAJC12,FTH1,SOD2	
Glutamate binding, activation of AMPA receptors and synaptic plasticity	1.22E00	5.13E-02	NaN	DLG4,GRIA3	
Glutamate and glutamine metabolism	1.22E00	5.13E-02	NaN	NAD ,RIMKLA	
Striated Muscle Contraction	1.2E00	5E-02	NaN	ACTN2,TMOD1	
Complement System	1.2E00	5E-02	NaN	CFH,SERPING1	
RAF/MAP kinase cascade	1.19E00	2.17E-02	NaN	ACTN2,CSF2RB,DLG4,FGF7,PDGFRA,SPTBN2	
Nucleotide biosynthesis	1.16E00	4.76E-02	NaN	ADSS1,NAD 	
Purine Nucleotides De Novo Biosynthesis II	1.16E00	4.76E-02	NaN	ADSS1,NAD 	
UDP-D-xylose and UDP-D-glucuronate Biosynthesis	1.16E00	1.43E-01	NaN	NAD 	
Retinoate Biosynthesis II	1.16E00	1.43E-01	NaN	NAD 	
Choline Degradation I	1.16E00	1.43E-01	NaN	NAD 	
Activin Inhibin Signaling Pathway	1.16E00	2.34E-02	NaN	IL33,IL6,JCHAIN,TLR7,TNFSF13B	
Oncostatin M Signaling	1.15E00	4.65E-02	NaN	MT2A,TIMP3	
RAB GEFs exchange GTP for GDP on RABs	1.14E00	3.19E-02	NaN	DENND6B,RAB6B,RINL	
Adrenergic Receptor Signaling Pathway (Enhanced)	1.14E00	2.3E-02	NaN	CACNB4,IL33,IL6,TNFSF13B,TNFSF14	
Collagen chain trimerization	1.13E00	4.55E-02	NaN	COL14A1,COL8A1	
Glycolysis I	1.11E00	4.44E-02	NaN	ENO2,NAD 	
Proline Degradation	1.1E00	1.25E-01	NaN	NAD 	
Ubiquinol-10 Biosynthesis (Eukaryotic)	1.09E00	4.35E-02	NaN	CYP26B1,CYP2E1	
Crosstalk between Dendritic Cells and Natural Killer Cells	1.09E00	3.03E-02	NaN	CSF2RB,IL6,TLR7	
Iron homeostasis signaling pathway	1.08E00	2.5E-02	NaN	FTH1,HEPH,IL6,PDGFRA	
Tuberculosis Latent Signaling Pathway	1.08E00	3E-02	NaN	PLIN2,TNFSF13B,TNFSF14	
Activation of NMDA receptors and postsynaptic events	1.07E00	2.97E-02	NaN	ACTN2,DLG4,GRIA3	
Multiple Sclerosis Signaling Pathway	1.06E00	2.18E-02	NaN	IL33,IL6,TLR7,TNFSF13B,TNFSF14	
Visual phototransduction	1.06E00	2.94E-02	NaN	HSD17B1,NAD ,RDH5	
RAR Activation	1.05E00	1.8E-02	NaN	CSF2RB,IGFBP3,IL33,IL6,RDH5,RHOU,TNFSF13B,TNFSF14	
Pathogenesis of Multiple Sclerosis	1.05E00	1.11E-01	NaN	CCL5	
Pyruvate Fermentation to Lactate	1.05E00	1.11E-01	NaN	NAD 	
2-ketoglutarate Dehydrogenase Complex	1.05E00	1.11E-01	NaN	NAD 	
Branched-chain α-keto acid Dehydrogenase Complex	1.05E00	1.11E-01	NaN	NAD 	
Threonine Degradation II	1.05E00	1.11E-01	NaN	NAD 	
Methylglyoxal Degradation VI	1.05E00	1.11E-01	NaN	NAD 	
Heparan Sulfate Biosynthesis (Late Stages)	1.05E00	2.91E-02	NaN	AADAC,HS6ST3,SULT4A1	
Assembly and cell surface presentation of NMDA receptors	1.05E00	4.08E-02	NaN	ACTN2,DLG4	
TP53 Regulates Transcription of Cell Death Genes	1.03E00	4E-02	NaN	IGFBP3,NDRG1	
Paracetamol ADME	1.03E00	4E-02	NaN	CYP2E1,NAT2	
