© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Activated PKN1 stimulates transcription of AR regulated genes KLK2 and KLK3	3.23E00	1.79E-01	NaN	H2BC11,H2BC12L,H2BC21,H2BC26,H2BC5	
Granulocyte Adhesion and Diapedesis	3.18E00	6.86E-02	NaN	CCL26,CCL3,CCRL2,CLDN1,CXCL2,IL1RAPL1,IL1RL1,IL1RN,IL36G,IL36RN,MMP12,MMP3,NGFR,XCL1	
SIRT1 negatively regulates rRNA expression	3.16E00	1.72E-01	NaN	H2BC11,H2BC12L,H2BC21,H2BC26,H2BC5	
SNARE Signaling Pathway	3.14E00	7.97E-02	NaN	ADCY2,CAMK2A,CAMK2B,MYH13,MYH14,MYL2,PRKAR1B,RAB39A,SYT11,SYT16,UNC13A	
Breast Cancer Regulation by Stathmin1	3.13E00	4.79E-02	NaN	ADCYAP1R1,ADGRB3,ADGRF5,ADGRG4,ADGRL4,ADRB2,CAMK1G,CAMK2A,CAMK2B,CCRL2,CHRM2,CHRM3,CHRM5,CREB5,GNG4,GPR156,GPR179,GRM4,GRM7,HTR2C,LGR5,P2RY14,PPP1R3A,PRKAR1B,PRKCB,PTAFR,RXFP1,TACR1,TGFA	
Neurovascular Coupling Signaling Pathway	3.09E00	6.47E-02	NaN	CACNA1E,CACNA2D3,CHRM2,CHRM3,CHRM5,GABRA2,GABRB2,GABRG1,GRIA4,GRIN2B,KCNN3,MAPT,PRKAR1B,PRKG2,RYR1	
GABAergic Receptor Signaling Pathway (Enhanced)	3.09E00	7.86E-02	NaN	ADCY2,CACNA1E,CACNA2D3,CNTNAP2,GABRA2,GABRB2,GABRG1,GNG4,GRIN2B,NRXN1,PRKAR1B	
Sperm Motility	3.09E00	6.23E-02	NaN	CNGB1,CNGB3,GNG4,MERTK,MUSK,NPPB,NTRK3,PDE1A,PDE4C,PLCG2,PLCL1,PRKAR1B,PRKCB,PRKG2,STYK1,ZAP70	
tRNA Splicing	3.07E00	1.33E-01	NaN	MPPED2,PDE11A,PDE1A,PDE3B,PDE4C,PDE6G	
Collagen degradation	2.97E00	1.09E-01	NaN	COL11A1,COL25A1,COL4A6,COL6A6,COL9A1,MMP12,MMP3	
Chromatin modifications during the maternal to zygotic transition (MZT)	2.95E00	1.56E-01	NaN	H2BC11,H2BC12L,H2BC21,H2BC26,H2BC5	
Gαs Signaling	2.86E00	7.87E-02	NaN	ADCY2,ADRB2,CHRM3,CHRM5,CNGB1,CNGB3,CREB5,GNG4,PRKAR1B,RYR1	
Endocannabinoid Neuronal Synapse Pathway	2.84E00	7.33E-02	NaN	ADCY2,CACNA1E,CACNA2D3,FAAH,GNG4,GRIA4,GRIN2B,MAPK4,PLCG2,PLCL1,PRKAR1B	
RAR Activation	2.83E00	5.08E-02	NaN	ADCY2,ADH7,CAMK2A,CAMK2B,CNGB1,CNGB3,CRABP2,CREB5,DHRS9,IL12A,IL36G,MMP3,MPPED2,PDE11A,PDE1A,PDE3B,PDE4C,PDE6G,PPARG,PRKAR1B,TNFSF15,TNFSF8	
Cardiac conduction	2.79E00	7.69E-02	NaN	CAMK2A,CAMK2B,CES1,KCND3,KCNK13,KCNK3,RYR1,SCN3A,SCN4B,TRDN	
LXR/RXR Activation	2.79E00	7.69E-02	NaN	ABCA1,HPX,IL1RAPL1,IL1RL1,IL1RN,IL36G,IL36RN,LPA,MSR1,NGFR	
PRC2 methylates histones and DNA	2.77E00	1.43E-01	NaN	H2BC11,H2BC12L,H2BC21,H2BC26,H2BC5	
Opioid Signaling Pathway	2.68E00	5.69E-02	NaN	ADCY2,CACNA1E,CACNA2D3,CAMK1G,CAMK2A,CAMK2B,CREB5,GNG4,GRIN2B,MAPK4,PDE1A,PRKAR1B,PRKCB,RGS13,RGS6,RYR1	
O-linked glycosylation	2.66E00	7.96E-02	NaN	B3GNT5,GALNT12,GCNT4,MUC13,MUC16,MUC19,ST6GALNAC3,THSD1,THSD7B	
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	2.66E00	1.35E-01	NaN	H2BC11,H2BC12L,H2BC21,H2BC26,H2BC5	
Autism Signaling Pathway	2.66E00	5.5E-02	NaN	CACNA1E,CACNA2D3,CAMK2A,CAMK2B,CNTNAP2,GRIN2B,GRM4,GRM7,IL12A,IL1RN,IL36G,IL36RN,NRXN1,PRKAR1B,RELN,TNFSF15,TNFSF8	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.64E00	5.34E-02	NaN	CAMK2A,CAMK2B,CREB5,FCGR1A,FRZB,IL1RAPL1,IL1RL1,IL1RN,IL36G,IL36RN,MMP3,NFATC2,NGFR,PLCG2,PLCL1,PRKCB,TLR8,TRAF1	
Cachexia Signaling Pathway	2.59E00	5.16E-02	NaN	ADCY2,ADRB2,AZGP1,IL12A,IL1RAPL1,IL1RL1,IL1RN,IL36G,IL36RN,LCN2,NGFR,PDE3B,PPARG,PRKAR1B,PRKCB,RYR1,TLR8,TNFSF15,TNFSF8	
