© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Pathogen Induced Cytokine Storm Signaling Pathway	2.57E00	3.14E-02	NaN	COL9A2,CSF2,CXCL1,CXCL8,HLA-DPA1,HLA-DRB1,IL1A,IL1B,IL36B,LIF,STAT4,TLR4	
RAR Activation	2.57E00	3E-02	NaN	ALDH1A1,ALDH1A2,ALDH1A3,CSF2,CXCL8,DHRS3,IL1A,IL1B,IL36B,LIF,MMP1,STRA6,TNIP1	
IL-33 Signaling Pathway	2.55E00	4.1E-02	NaN	CSF2,CXCL8,H2BC12,H2BC15,IL1A,IL1B,IL36B,VCAM1	
FXR/RXR Activation	2.55E00	4.1E-02	NaN	ABCG8,CSF2,CXCL8,IL1A,IL1B,IL36B,LIF,SLC51A	
TREM1 Signaling	2.55E00	6.33E-02	NaN	CSF2,CXCL8,IL1B,TLR4,TREM1	
IL-17A Signaling in Fibroblasts	2.53E00	6.25E-02	NaN	CSF2,CXCL1,IL1B,MMP1,VCAM1	
IL-10 Signaling	2.52E00	4.52E-02	NaN	BMP2,HLA-DPA1,HLA-DRB1,IL1A,IL1B,IL36B,TLR4	
Cerebral Malformation Signaling Pathway	2.5E00	5.13E-02	NaN	CXCL8,IL1A,IL1B,IL36B,THBD,TLR4	
DNA methylation	2.42E00	1.15E-01	NaN	H2AC6,H2BC12,H2BC15	
Gustation Pathway	2.35E00	3.79E-02	NaN	ABCC8,ABCC9,CACNA1D,CD36,GABRB3,KCNQ3,LIPH,SCN1A	
Activated PKN1 stimulates transcription of AR regulated genes KLK2 and KLK3	2.33E00	1.07E-01	NaN	H2AC6,H2BC12,H2BC15	
Interleukin-1 processing	2.3E00	2.22E-01	NaN	IL1A,IL1B	
SIRT1 negatively regulates rRNA expression	2.29E00	1.03E-01	NaN	H2AC6,H2BC12,H2BC15	
Hepatic Fibrosis Signaling Pathway	2.27E00	2.88E-02	NaN	CACNA1D,CXCL8,FLT1,FZD3,IL1A,IL1B,IL36B,IRAK2,MMP1,NOX4,TLR4,VCAM1	
Post-translational modification: synthesis of GPI-anchored proteins	2.25E00	5.38E-02	NaN	GPIHBP1,MELTF,OTOA,VNN1,VNN2	
Chromatin modifications during the maternal to zygotic transition (MZT)	2.17E00	9.38E-02	NaN	H2AC6,H2BC12,H2BC15	
CGAS-STING Signaling Pathway	2.15E00	4.35E-02	NaN	CSF2,CXCL8,IL1A,IL1B,IL36B,LIF	
Crosstalk between Dendritic Cells and Natural Killer Cells	2.15E00	5.1E-02	NaN	CCR7,CD28,CSF2,HLA-DRB1,TLR4	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	2.14E00	3.49E-02	NaN	ADAMTS4,BMP2,CSF2,FZD3,IL1A,IL1B,IL36B,MMP1	
UFMylation Signaling Pathway	2.11E00	6.25E-02	NaN	ESR1,H4C9,IL1B,TLR4	
Neurovascular Coupling Signaling Pathway	2.11E00	3.45E-02	NaN	CACNA1D,DAGLA,GABRB3,GRIN2A,KCNJ6,KCNMB3,PLA2G4C,SLCO2A1	
Class A/1 (Rhodopsin-like receptors)	2.1E00	3.01E-02	NaN	C5AR1,CCR7,CXCL1,CXCL8,GPR35,GPR37L1,PSAP,PTGER3,RGR,SAA1	
DHCR24 Signaling Pathway	2.08E00	4.2E-02	NaN	ESR1,SAA1,SAA2,SAA4,SERPINA1,VCAM1	
Role of Chondrocytes in Rheumatoid Arthritis Signaling Pathway	2.07E00	4.17E-02	NaN	ADAMTS4,CXCL8,IL1A,IL1B,IL36B,MMP1	
PRC2 methylates histones and DNA	2.06E00	8.57E-02	NaN	H2AC6,H2BC12,H2BC15	
Coagulation System	2.06E00	8.57E-02	NaN	SERPINA1,SERPIND1,THBD	
Hematopoiesis from Multipotent Stem Cells	2.05E00	1.67E-01	NaN	CSF2,CSF3	
Osteoarthritis Pathway	2.04E00	3.36E-02	NaN	ADAMTS4,BMP2,CTNNA2,CXCL8,FZD3,IL1B,MMP1,TLR4	
Macrophage Alternative Activation Signaling Pathway	2.03E00	3.65E-02	NaN	CD36,HLA-DPA1,HLA-DRB1,IL1A,IL1B,IL36B,TLR4	
Sensory processing of sound by inner hair cells of the cochlea	2E00	5.8E-02	NaN	CACNA1D,MYO3B,PCDH15,WHRN	
ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	1.99E00	8.11E-02	NaN	H2AC6,H2BC12,H2BC15	
NAD Signaling Pathway	1.97E00	3.97E-02	NaN	H2BC12,H2BC15,NMNAT2,NMNAT3,PARP15,SLC29A3	
Tryptophan catabolism	1.91E00	1.43E-01	NaN	KMO,KYNU	
Role of IL-17A in Psoriasis	1.91E00	1.43E-01	NaN	CXCL1,CXCL8	
O-linked glycosylation	1.9E00	4.42E-02	NaN	ADAMTS14,ADAMTS4,GALNT18,GALNT5,GCNT3	
Fatty Acid Activation	1.85E00	1.33E-01	NaN	ACSL5,ACSL6	
Phenylalanine Degradation IV (Mammalian, via Side Chain)	1.85E00	1.33E-01	NaN	ALDH2,IL4I1	
MyD88:MAL(TIRAP) cascade initiated on plasma membrane	1.84E00	7.14E-02	NaN	CD36,IRAK2,TLR4	
Neutrophil degranulation	1.83E00	2.52E-02	NaN	ATP8B4,C5AR1,CD36,CEACAM1,CXCL1,PSAP,PTX3,SERPINA1,SERPINA3,SERPINB10,TCN1,VNN1	
Cachexia Signaling Pathway	1.81E00	2.72E-02	NaN	CAPN3,CSF2,CXCL8,IL1A,IL1B,IL36B,LIF,NOX4,STAT4,TLR4	
Role of MAPK Signaling in Inhibiting the Pathogenesis of Influenza	1.8E00	5.06E-02	NaN	CXCL8,IL1B,PLA2G4C,TLR4	
Degradation of the extracellular matrix	1.76E00	4.94E-02	NaN	ADAMTS4,CAPN3,LAMC2,MMP1	
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.76E00	4.94E-02	NaN	LIF,MMP1,SERPINA1,SERPINA3	
p38 MAPK Signaling	1.74E00	4.03E-02	NaN	IL1A,IL1B,IL36B,IRAK2,PLA2G4C	
IL-23 Signaling Pathway	1.73E00	6.52E-02	NaN	CSF2,IL1B,STAT4	
Th1 Pathway	1.73E00	4E-02	NaN	CD28,HLA-DPA1,HLA-DRB1,KLRC1,STAT4	
Estrogen Biosynthesis	1.71E00	6.38E-02	NaN	AKR1B15,CYP2C18,HSD17B2	
Antimicrobial peptides	1.66E00	6.12E-02	NaN	EPPIN,HTN1,PI3	
Nucleosome assembly	1.66E00	6.12E-02	NaN	H2AC6,H2BC12,H2BC15	
GABA synthesis, release, reuptake and degradation	1.66E00	1.05E-01	NaN	RIMS1,SLC6A13	
γ-linolenate Biosynthesis II (Animals)	1.66E00	1.05E-01	NaN	ACSL5,ACSL6	
Mitochondrial L-carnitine Shuttle Pathway	1.66E00	1.05E-01	NaN	ACSL5,ACSL6	
Amyloid fiber formation	1.64E00	4.55E-02	NaN	H2AC6,H2BC12,H2BC15,SAA1	
Meiotic recombination	1.64E00	6E-02	NaN	H2AC6,H2BC12,H2BC15	
Erythropoietin Signaling Pathway	1.62E00	3.31E-02	NaN	CSF2,CXCL8,IL1A,IL1B,IL36B,LIF	
Transcriptional regulation of granulopoiesis	1.62E00	5.88E-02	NaN	H2AC6,H2BC12,H2BC15	
B-WICH complex positively regulates rRNA expression	1.59E00	5.77E-02	NaN	H2AC6,H2BC12,H2BC15	
Complement cascade	1.59E00	3.68E-02	NaN	C4BPB,C5AR1,C7,CFB,IGLV1-51	
GABAergic Receptor Signaling Pathway (Enhanced)	1.54E00	3.57E-02	NaN	CACNA1D,GABRB3,GRIN2A,KCNJ6,SLC6A13	
Regulation of TLR by endogenous ligand	1.54E00	9.09E-02	NaN	CD36,TLR4	
Meiotic synapsis	1.53E00	5.45E-02	NaN	H2AC6,H2BC12,H2BC15	
Sensory processing of sound by outer hair cells of the cochlea	1.53E00	5.45E-02	NaN	MYO3B,PCDH15,WHRN	
DNA Damage/Telomere Stress Induced Senescence	1.51E00	5.36E-02	NaN	H2AC6,H2BC12,H2BC15	
Azathioprine ADME	1.5E00	8.7E-02	NaN	SLC28A3,VAV3	
NAD Salvage Pathway II	1.5E00	8.7E-02	NaN	NMNAT2,NMNAT3	
Interferon gamma signaling	1.5E00	4.08E-02	NaN	HLA-DPA1,HLA-DRB1,OAS2,VCAM1	
Glucocorticoid Receptor Signaling	1.48E00	2.17E-02	NaN	CSF2,CXCL8,DNAH3,ESR1,HLA-DPA1,HLA-DRB1,IL13RA2,IL1A,IL1B,KRT34,MMP1,PLA2G4C,VCAM1	
RUNX1 regulates megakaryocyte differentiation and platelet function	1.47E00	5.17E-02	NaN	H2AC6,H2BC12,H2BC15	
Role of IL-17A in Arthritis	1.47E00	5.17E-02	NaN	CXCL1,CXCL8,MMP1	
Tryptophan Degradation III (Eukaryotic)	1.47E00	8.33E-02	NaN	KMO,KYNU	
Vitamin-C Transport	1.47E00	8.33E-02	NaN	AKR1C4,GLRX	
Inflammasome pathway	1.47E00	8.33E-02	NaN	IL1B,TLR4	
Signaling by ERBB4	1.45E00	5.08E-02	NaN	ADAP1,ESR1,GABRB3	
Adrenomedullin signaling pathway	1.42E00	2.97E-02	NaN	CALCRL,IL1A,IL1B,IL36B,KCNQ3,PLCZ1	
Dilated Cardiomyopathy Signaling Pathway	1.42E00	3.31E-02	NaN	ABCC9,CACNA1D,MYO5C,RBM20,TNNT2	
Visual phototransduction	1.42E00	4.92E-02	NaN	DHRS3,SAG,STRA6	
Regulation of endogenous retroelements	1.41E00	3.85E-02	NaN	H2AC6,H2BC12,H2BC15,ZNF425	
Transcriptional regulation by RUNX1	1.41E00	3.29E-02	NaN	CSF2,ESR1,H2AC6,H2BC12,H2BC15	
Type II Diabetes Mellitus Signaling	1.41E00	3.29E-02	NaN	ABCC8,ACSL5,ACSL6,CACNA1D,CD36	
Metabolism of porphyrins	1.4E00	7.69E-02	NaN	SLCO2B1,UGT1A1	
IL-17A Signaling in Gastric Cells	1.4E00	7.69E-02	NaN	CXCL1,CXCL8	
CREB Signaling in Neurons	1.4E00	2.11E-02	NaN	ADGRD1,C5AR1,CACNA1D,CALCRL,CCR7,FLT1,FZD3,GPR35,GPR37L1,GRIN2A,PLCZ1,PTGER3,RGR	
Role of Osteoclasts in Rheumatoid Arthritis Signaling Pathway	1.38E00	2.52E-02	NaN	ADAM21,COL9A2,CSF2,CTNNA2,IL1B,MMP1,TLR4,VAV3	
Triacylglycerol Degradation	1.38E00	4.76E-02	NaN	ALDH2,DAGLA,PNLIPRP3	
Cellular Effects of Sildenafil (Viagra)	1.37E00	2.04E-02	NaN	ADGRD1,C5AR1,CACNA1D,CALCRL,CAPN3,CCR7,FZD3,GPR35,GPR37L1,HCN4,KCNQ3,MYO5C,PTGER3,RGR	
Effects of PIP2 hydrolysis	1.37E00	7.41E-02	NaN	DAGLA,DGKB	
Pyroptosis	1.37E00	7.41E-02	NaN	IL1A,IL1B	
IL-8 Signaling	1.37E00	2.88E-02	NaN	CXCL1,CXCL8,FLT1,IRAK2,NOX4,VCAM1	
Role of Tissue Factor in Cancer	1.37E00	2.88E-02	NaN	CSF2,CXCL1,CXCL8,FLT1,IL1B,MMP1	
Integration of energy metabolism	1.36E00	3.7E-02	NaN	ABCC8,CACNA1D,CD36,KCNB1	
Cell surface interactions at the vascular wall	1.32E00	2.8E-02	NaN	CEACAM1,IGLV1-51,MMP1,PSG3,THBD,TREM1	
NGF processing	1.32E00	2.5E-01	NaN	PCSK5	
Phenylethylamine Degradation I	1.32E00	2.5E-01	NaN	ALDH2	
Ascorbate Recycling (Cytosolic)	1.32E00	2.5E-01	NaN	GLRX	
NoRC negatively regulates rRNA expression	1.31E00	4.48E-02	NaN	H2AC6,H2BC12,H2BC15	
Ribavirin ADME	1.31E00	4.48E-02	NaN	ADA,SLC28A3,SLC29A3	
