© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Phagosome Formation	1.27E00	1.98E-02	NaN	AGTR1,C3,GPER1,GPR146,GPR68,HTR1F,ITGA1,ITGA7,JCHAIN,LBP,LPAR1,PTGIR,RAPGEF4,TLR7	
Nicotinate metabolism	1.26E00	6.45E-02	NaN	PTGIS,SLC22A13	
Glutamate binding, activation of AMPA receptors and synaptic plasticity	1.26E00	6.45E-02	NaN	DLG4,GRIA3	
Ubiquinol-10 Biosynthesis (Eukaryotic)	1.26E00	6.45E-02	NaN	CYP26B1,CYP2E1	
Antioxidant Action of Vitamin C	1.25E00	3.42E-02	NaN	CSF2RB,SLC23A1,SLC23A3,SLC2A5	
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	1.24E00	2.37E-02	NaN	CCL2,CSF1,IL33,IL6,JCHAIN,SFRP4,TLR7,TNFSF13B	
PAK Signaling	1.24E00	3.39E-02	NaN	EPHA3,ITGA1,ITGA7,PDGFRA	
Toll-like Receptor Cascades	1.23E00	6.25E-02	NaN	LBP,TLR7	
Hepatic Cholestasis	1.23E00	2.67E-02	NaN	GPER1,IL33,IL6,LBP,TNFSF13B,TNFSF14	
Intestinal absorption	1.22E00	2E-01	NaN	SLC2A5	
Airway Inflammation in Asthma	1.21E00	6.06E-02	NaN	CCL2,IL33	
Role of Osteoblasts, Osteoclasts and Chondrocytes in Rheumatoid Arthritis	1.2E00	2.62E-02	NaN	ACP5,CSF1,DLX5,IL33,IL6,SFRP4	
Methylglyoxal Degradation III	1.19E00	5.88E-02	NaN	AKR1B1,CYP2E1	
Interferon alpha/beta signaling	1.18E00	3.95E-02	NaN	BST2,HLA-H,IRF6	
Toll-like Receptor Signaling	1.16E00	3.9E-02	NaN	IL33,LBP,TLR7	
NFE2L2 regulating inflammation associated genes	1.15E00	1.67E-01	NaN	CCL2	
Striated Muscle Contraction	1.14E00	5.56E-02	NaN	ACTN2,TMOD1	
Erythropoietin Signaling Pathway	1.14E00	2.76E-02	NaN	CSF2RB,IL33,IL6,TNFSF13B,TNFSF14	
