© 2000-2025 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules	
Role of OCT4 in Mammalian Embryonic Stem Cell Pluripotency	1.3E00	6.52E-02	NaN	BRCA1,CCNF,ETS2	
Pre-NOTCH Expression and Processing	1.3E00	5.19E-02	NaN	E2F1,H2AX,H2AZ2,H2BC17	
Diphthamide Biosynthesis	1.28E00	3.33E-01	NaN	DPH6	
IL-7 Signaling Pathway	1.27E00	5.06E-02	NaN	BCL2,CDC25A,CDK2,IL7R	
FAT10 Cancer Signaling Pathway	1.2E00	5.88E-02	NaN	MAD2L1,MAD2L2,PCNA	
Activation of anterior HOX genes in hindbrain during early embryogenesis	1.19E00	4.76E-02	NaN	EZH2,H2AX,H2AZ2,H2BC17	
Activation of NMDA receptors and postsynaptic events	1.17E00	4.71E-02	NaN	KPNA2,NRG1,NRGN,TUBA3C	
Interleukin-7 signaling	1.16E00	8.33E-02	NaN	IL7R,IRS1	
Other interleukin signaling	1.16E00	8.33E-02	NaN	CSF1R,SDC1	
Carnitine synthesis	1.16E00	2.5E-01	NaN	SHMT1	
eNOS Signaling	1.15E00	3.73E-02	NaN	ADCY3,CCNA2,CHRFAM7A,CHRNA5,GUCY1B1,NOSTRIN	
Intrinsic Pathway for Apoptosis	1.12E00	5.45E-02	NaN	BCL2,E2F1,TP73	
Regulation of Cellular Mechanics by Calpain Protease	1.12E00	4.49E-02	NaN	CCNA2,CCNE2,CDK1,CDK2	
RUNX1 regulates megakaryocyte differentiation and platelet function	1.06E00	5.17E-02	NaN	H2AX,H2AZ2,H2BC17	
Transmission across Electrical Synapses	1.06E00	2E-01	NaN	GJC1	
Superpathway of Serine and Glycine Biosynthesis I	1.06E00	2E-01	NaN	SHMT1	
TR/RXR Activation	1.06E00	3.82E-02	NaN	CCNA2,CDK2,FOXM1,NRGN,PCNA	
RHO GTPases activate PKNs	1.05E00	7.14E-02	NaN	CDC25C,PKN3	
CDP-diacylglycerol Biosynthesis I	1.05E00	7.14E-02	NaN	GPAT3,MBOAT1	
Chromatin organization	1.04E00	3.14E-02	NaN	EZH2,H2AX,H2AZ2,H2BC17,KDM4D,NSD2,SUV39H1,YEATS4	
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	9.96E-01	6.67E-02	NaN	GPAT3,MBOAT1	
Ferroptosis Signaling Pathway	9.94E-01	3.65E-02	NaN	FANCD2,H2AX,H2AZ1,H2AZ2,RBL1	
Zymosterol Biosynthesis	9.87E-01	1.67E-01	NaN	LBR	
Folate Polyglutamylation	9.87E-01	1.67E-01	NaN	SHMT1	
